timestamp,      b2d,b3d,b4d,b1d,       locx,locy,        b2x,b2x,b3x,b3y,b4x,b4y,b1x,b1y
1:30:43,10.81665383,10.81665383,10.81665383,10.81665383,2,3,0,0,0,6,4,6,4,0
13:30:56,12.72792206,12.72792206,9.486832981,9.486832981,3,3,0,0,0,6,4,6,4,0
13:31:01,10.81665383,15,12.36931688,6.708203932,3,2,0,0,0,6,4,6,4,0
13:31:06,8.485281374,13.41640786,13.41640786,8.485281374,2,2,0,0,0,6,4,6,4,0
13:31:11,6.708203932,12.36931688,15,10.81665383,1,2,0,0,0,6,4,6,4,0
13:31:16,9.486832981,9.486832981,12.72792206,12.72792206,1,3,0,0,0,6,4,6,4,0
13:31:21,12.36931688,6.708203932,10.81665383,15,1,4,0,0,0,6,4,6,4,0
13:31:26,13.41640786,8.485281374,8.485281374,13.41640786,2,4,0,0,0,6,4,6,4,0
1:31:31 PM,15,10.81665383,6.708203932,12.36931688,3,4,0,0,0,6,4,6,4,0
1:31:37 PM,12.72792206,12.72792206,9.486832981,9.486832981,3,3,0,0,0,6,4,6,4,0
1:31:42 PM,10.81665383,15,12.36931688,6.708203932,3,2,0,0,0,6,4,6,4,0
1:31:47 PM,8.485281374,13.41640786,13.41640786,8.485281374,2,2,0,0,0,6,4,6,4,0
1:31:52 PM,6.708203932,12.36931688,15,10.81665383,1,2,0,0,0,6,4,6,4,0
1:31:57 PM,9.486832981,9.486832981,12.72792206,12.72792206,1,3,0,0,0,6,4,6,4,0
1:32:02 PM,10.81665383,10.81665383,10.81665383,10.81665383,2,3,0,0,0,6,4,6,4,0