timestamp,b1d,b2d,b3d,b4d
21:48:40,15.03,19.95,23.5,19.49
21:48:46,17.14,21.59,21.59,17.14
21:48:51,19.49,23.5,19.95,15.03
21:48:56,21.38,21.38,17.41,17.41
21:49:01,23.5,19.49,15.03,19.95
21:49:06,21.59,17.14,17.14,21.59
21:49:11,19.95,15.03,19.49,23.5
21:49:16,17.41,17.41,21.38,21.38
21:49:21,15.03,19.95,23.5,19.49
21:49:28,19.26,19.26,19.26,19.26
21:49:33,21.59,17.14,17.14,21.59
21:49:38,23.5,19.49,15.03,19.95
21:49:45,21.38,21.38,17.41,17.41
21:49:50,19.49,23.5,19.95,15.03
21:49:55,17.14,21.59,21.59,17.14
21:50:00,15.03,19.95,23.5,19.49
21:50:07,19.26,19.26,19.26,19.26
21:50:13,19.49,23.5,19.95,15.03
21:50:20,21.38,21.38,17.41,17.41
21:50:26,23.5,19.49,15.03,19.95
21:50:34,19.26,19.26,19.26,19.26
21:50:39,17.41,17.41,21.38,21.38
21:50:46,15.03,19.95,23.5,19.49