timestamp,b2d,b3d,b4d,b1d
11:19:50.00,10,41.23,41.23,10
11:19:57.00,11.2,36.4,36.4,11.2
11:20:04.00,14.14,31.62,31.62,14.14
11:20:11.00,18.03,26.93,26.93,18.03
11:20:18.00,22.4,22.4,22.4,22.4
11:20:25.00,26.93,18.03,18.03,26.93
11:20:33.00,31.62,14.14,14.14,31.62
11:20:40.00,36.4,11.2,11.2,36.4
11:20:48.00,41.23,10,10,41.23
11:20:55.00,36.4,11.2,11.2,36.4
11:21:02.00,31.62,14.14,14.14,31.62
11:21:09.00,26.93,18.03,18.03,26.93
11:21:16.00,22.4,22.4,22.4,22.4
11:21:23.00,20.62,20.62,25,25
11:21:30.00,15.81,25.5,29.2,21.21
11:21:37.00,18.03,18.03,18.03,18.03
11:21:44.00,21.21,29.2,25.5,15.81
11:21:51.00,25,25,20.62,20.62
11:21:57.00,22.4,22.4,22.4,22.4
11:22:04.00,18.03,26.93,26.93,18.03
11:22:11.00,14.14,31.62,31.62,14.14
11:22:17.00,11.2,36.4,36.4,11.2
11:22:24.00,10,41.23,41.23,10